,Vehicles,Month,Day,Hour,Vehicles_lag_1,Vehicles_lag_2
2015-11-01 00:00:00,9,11,1,0,,
2015-11-01 01:00:00,7,11,1,1,9.0,
2015-11-01 02:00:00,5,11,1,2,7.0,9.0
2015-11-01 03:00:00,1,11,1,3,5.0,7.0
2015-11-01 04:00:00,2,11,1,4,1.0,5.0
2015-11-01 05:00:00,2,11,1,5,2.0,1.0
2015-11-01 06:00:00,3,11,1,6,2.0,2.0
2015-11-01 07:00:00,4,11,1,7,3.0,2.0
2015-11-01 08:00:00,3,11,1,8,4.0,3.0
2015-11-01 09:00:00,6,11,1,9,3.0,4.0
2015-11-01 10:00:00,12,11,1,10,6.0,3.0
2015-11-01 11:00:00,6,11,1,11,12.0,6.0
2015-11-01 12:00:00,6,11,1,12,6.0,12.0
2015-11-01 13:00:00,9,11,1,13,6.0,6.0
2015-11-01 14:00:00,6,11,1,14,9.0,6.0
2015-11-01 15:00:00,6,11,1,15,6.0,9.0
2015-11-01 16:00:00,4,11,1,16,6.0,6.0
2015-11-01 17:00:00,4,11,1,17,4.0,6.0
2015-11-01 18:00:00,6,11,1,18,4.0,4.0
2015-11-01 19:00:00,5,11,1,19,6.0,4.0
2015-11-01 20:00:00,11,11,1,20,5.0,6.0
2015-11-01 21:00:00,8,11,1,21,11.0,5.0
2015-11-01 22:00:00,6,11,1,22,8.0,11.0
2015-11-01 23:00:00,5,11,1,23,6.0,8.0
2015-11-02 00:00:00,5,11,2,0,5.0,6.0
2015-11-02 01:00:00,3,11,2,1,5.0,5.0
2015-11-02 02:00:00,5,11,2,2,3.0,5.0
2015-11-02 03:00:00,5,11,2,3,5.0,3.0
2015-11-02 04:00:00,3,11,2,4,5.0,5.0
2015-11-02 05:00:00,1,11,2,5,3.0,5.0
2015-11-02 06:00:00,5,11,2,6,1.0,3.0
2015-11-02 07:00:00,1,11,2,7,5.0,1.0
2015-11-02 08:00:00,5,11,2,8,1.0,5.0
2015-11-02 09:00:00,8,11,2,9,5.0,1.0
2015-11-02 10:00:00,10,11,2,10,8.0,5.0
2015-11-02 11:00:00,10,11,2,11,10.0,8.0
2015-11-02 12:00:00,11,11,2,12,10.0,10.0
2015-11-02 13:00:00,7,11,2,13,11.0,10.0
2015-11-02 14:00:00,6,11,2,14,7.0,11.0
2015-11-02 15:00:00,9,11,2,15,6.0,7.0
2015-11-02 16:00:00,6,11,2,16,9.0,6.0
2015-11-02 17:00:00,6,11,2,17,6.0,9.0
2015-11-02 18:00:00,8,11,2,18,6.0,6.0
2015-11-02 19:00:00,7,11,2,19,8.0,6.0
2015-11-02 20:00:00,13,11,2,20,7.0,8.0
2015-11-02 21:00:00,15,11,2,21,13.0,7.0
2015-11-02 22:00:00,9,11,2,22,15.0,13.0
2015-11-02 23:00:00,8,11,2,23,9.0,15.0
2015-11-03 00:00:00,10,11,3,0,8.0,9.0
2015-11-03 01:00:00,4,11,3,1,10.0,8.0
2015-11-03 02:00:00,7,11,3,2,4.0,10.0
2015-11-03 03:00:00,5,11,3,3,7.0,4.0
2015-11-03 04:00:00,4,11,3,4,5.0,7.0
2015-11-03 05:00:00,4,11,3,5,4.0,5.0
2015-11-03 06:00:00,3,11,3,6,4.0,4.0
2015-11-03 07:00:00,5,11,3,7,3.0,4.0
2015-11-03 08:00:00,6,11,3,8,5.0,3.0
2015-11-03 09:00:00,6,11,3,9,6.0,5.0
2015-11-03 10:00:00,10,11,3,10,6.0,6.0
2015-11-03 11:00:00,8,11,3,11,10.0,6.0
2015-11-03 12:00:00,10,11,3,12,8.0,10.0
2015-11-03 13:00:00,5,11,3,13,10.0,8.0
2015-11-03 14:00:00,8,11,3,14,5.0,10.0
